game_id,season_start_year,period,periodTime,team,shotType,strength,shot_distance,shot_angle,is_goal,empty_net
2016020009,2016,3,17:55,,slap,,90.24411338142782,12.804266065286752,1,0
2016020023,2016,1,09:22,,snap,,87.5728268357257,6.556946498163389,1,0
2016020031,2016,2,03:53,,wrist,,83.86298349093002,-8.226722464108173,1,0
2016020033,2016,3,18:24,,wrist,,85.28774824088158,-4.7078522443722255,1,0
2016020091,2016,3,17:41,,wrist,,85.7962703152066,-21.18134950026624,1,0
2016020102,2016,3,19:16,,wrist,,94.847245611035,24.94390526342458,1,0
2016020182,2016,3,19:24,,slap,,90.37698822156004,24.863696571751863,1,0
2016020187,2016,3,18:28,,wrist,,85.05292469985967,-2.0213649403560154,1,0
2016020199,2016,3,18:11,,wrist,,82.73451516749222,-26.56505117707799,1,0
2016020298,2016,3,17:51,,wrist,,88.88756943465155,17.007946955407327,1,0
2016020305,2016,2,05:43,,slap,,84.77027781009096,17.152421740211835,1,0
2016020342,2016,3,19:36,,snap,,90.80198235721508,-25.43621638041735,1,0
2016020413,2016,3,18:27,,backhand,,82.46211251235322,-14.03624346792648,1,0
2016020423,2016,3,19:08,,wrist,,82.29216244576394,25.942295489871672,1,0
2016020424,2016,3,19:01,,wrist,,86.33075929238663,-18.22507511135446,1,0
2016020431,2016,3,19:34,,wrist,,84.09518416651456,25.34617594194669,1,0
2016020434,2016,3,19:02,,wrist,,82.96987405076617,15.376251248826188,1,0
2016020452,2016,3,18:56,,backhand,,95.46203433826454,22.804540471321047,1,0
2016020459,2016,3,19:13,,wrist,,88.28363381737297,9.782407031807288,1,0
2016020473,2016,3,16:33,,wrist,,82.56512580987206,11.173838241814732,1,0
2016020606,2016,3,18:38,,wrist,,94.70480452437458,-21.6890649646158,1,0
2016020607,2016,3,18:46,,wrist,,89.00561780022652,-0.6437457141753808,1,0
2016020609,2016,3,18:55,,wrist,,96.25487000666512,-23.902050411010848,1,0
2016020609,2016,3,19:44,,snap,,84.17244204607586,13.045637062948602,1,0
2016020613,2016,3,19:56,,wrist,,81.8413098624405,-26.878139752098647,1,0
2016020636,2016,3,18:16,,snap,,84.48076704197234,-16.504361381755018,1,0
2016020669,2016,3,17:52,,wrist,,88.36288813749809,5.194428907734806,1,0
2016020700,2016,3,19:25,,wrist,,81.39410298049853,-10.619655276155134,1,0
2016020732,2016,3,17:36,,wrist,,87.23531395025755,-25.096250462692165,1,0
2016020759,2016,3,19:46,,wrist,,80.4114419718985,10.75096699318805,1,0
2016020779,2016,3,19:42,,wrap-around,,86.00581375697809,-0.6661999701831416,1,0
2016020818,2016,3,19:22,,snap,,80.15609770940699,-3.576334374997351,1,0
2016020825,2016,3,19:24,,wrist,,89.15716460273958,23.114207983326832,1,0
2016020859,2016,3,18:43,,wrist,,86.16263691415206,-21.80140948635181,1,0
2016020865,2016,3,18:05,,wrist,,87.72684879784524,24.22774531795417,1,0
2016020867,2016,1,12:44,,slap,,83.18653737234169,-9.688786560366802,1,0
2016020977,2016,3,19:49,,wrist,,85.86617494683223,-26.26663835708311,1,0
2016020986,2016,3,19:00,,wrist,,85.14693182963201,3.3664606634298013,1,0
2016021010,2016,3,19:58,,wrist,,82.03657720797473,9.117862753795787,1,0
2016021021,2016,3,19:34,,wrist,,86.97700845625813,-17.393322146912038,1,0
2016021050,2016,3,19:26,,wrist,,88.0056816347672,0.6510603802294862,1,0
2016021060,2016,3,18:57,,wrist,,93.1074647920348,-24.08745230863229,1,0
2016021070,2016,3,19:09,,backhand,,80.52949770115296,-28.156191448272576,1,0
2016021085,2016,3,19:12,,wrist,,90.44335243676012,18.034285567129857,1,0
2016021116,2016,3,18:52,,wrist,,82.76472678623425,28.11320887605596,1,0
2016021175,2016,3,04:21,,wrist,,88.0,0.0,1,0
2016021178,2016,3,18:34,,wrist,,84.52810183601665,-10.911128384283383,1,0
2017020054,2017,3,17:59,,wrist,,90.07774419910837,-22.864508121899647,1,0
2017020069,2017,3,19:21,,wrist,,89.45389874119518,5.774325902663275,1,0
2017020078,2017,3,19:36,,slap,,81.88406438373708,-28.44292862436335,1,0
2017020113,2017,3,18:21,,wrist,,86.97700845625813,17.393322146912038,1,0
2017020120,2017,3,18:57,,backhand,,91.3892772703669,23.19859051364819,1,0
2017020174,2017,3,19:41,,wrist,,83.24061508662703,-16.039943306049665,1,0
2017020178,2017,3,18:46,,wrist,,89.31965069345043,21.68229161324493,1,0
2017020181,2017,3,18:11,,wrist,,82.87339742040264,-8.325650330426836,1,0
2017020192,2017,3,18:05,,wrist,,80.00624975587844,0.7161599454704085,1,0
2017020211,2017,3,05:20,,wrist,,87.66413177577246,25.688143435647348,1,0
2017020223,2017,3,19:40,,wrist,,85.32877591996736,10.124671655397815,1,0
2017020237,2017,3,19:25,,wrist,,81.88406438373708,-28.44292862436335,1,0
2017020239,2017,3,17:37,,wrist,,89.05054744357274,-1.930587441166992,1,0
2017020259,2017,3,19:43,,backhand,,91.28526715741155,24.599790605157462,1,0
2017020260,2017,3,18:19,,wrist,,89.1852005660132,-17.622297228668277,1,0
2017020326,2017,1,02:26,,wrist,,91.92388155425118,22.380135051959574,1,0
2017020331,2017,3,19:12,,wrist,,90.87353850269064,-24.0265065786792,1,0
2017020391,2017,3,19:31,,wrist,,91.0,22.619864948040423,1,0
2017020394,2017,3,18:52,,backhand,,83.19254774317228,25.641005824305285,1,0
2017020408,2017,3,17:57,,wrist,,82.73451516749222,-7.640406761026755,1,0
2017020408,2017,3,19:08,,wrist,,87.31551981177229,-20.095231191904816,1,0
